term,E,P,A,E2,P2,A2
self_employed_worker,1.87,1.81,0.85,1.87,1.81,0.85
senator,0,2.12,0.81,0,2.12,0.81
senior_citizen,1.67,-0.69,-1.74,1.67,-0.69,-1.74
servant,0.53,-1.83,-1.24,0.53,-1.83,-1.24
server,1.77,-0.07,0.71,1.77,-0.07,0.71
sewing_machine_operator,1.03,-0.53,-0.07,1.03,-0.53,-0.07
sheet_metal_worker,0.91,0.31,1.15,0.91,0.31,1.15
sheriff,1.07,2.42,1.07,1.07,2.42,1.07
ship_captain,1.89,2.54,1.47,1.89,2.54,1.47
ship_engineer,1.62,1.93,0.38,1.62,1.93,0.38
shoe_repairman,1.49,0.15,-0.45,1.49,0.15,-0.45
shop_clerk,1.27,-0.38,0.1,1.27,-0.38,0.1
shopkeeper,1.15,0.25,0.22,1.15,0.25,0.22
shoplifter,-2.35,-0.57,-0.3,-2.35,-0.57,-0.3
shopper,0.82,0.52,0.6,0.82,0.52,0.6
shrew,-1.05,-1.14,0.18,-1.05,-1.14,0.18
shrimp,0.96,-2.18,-1.11,0.96,-2.18,-1.11
shrink,0.99,1.01,-0.9,0.99,1.01,-0.9
shut_in,-0.92,-1.96,-2.24,-0.92,-1.96,-2.24
shyster,-1.12,-1.09,-0.94,-1.12,-1.09,-0.94
sibling,2.31,1.49,1.43,2.31,1.49,1.43
sidekick,1.67,-0.06,0.41,1.67,-0.06,0.41
simpleton,-0.38,-1.57,-1.41,-0.38,-1.57,-1.41
single_parent,1.07,1.16,0.57,1.07,1.16,0.57
sinner,-1.72,-0.75,0.77,-1.72,-0.75,0.77
sissy,-1.32,-1.86,-0.6,-1.32,-1.86,-0.6
sister,1.91,1.23,1.06,1.91,1.23,1.06
sister_in_law,1.01,0.06,0.33,1.01,0.06,0.33
skeptic,-0.05,0.28,-0.07,-0.05,0.28,-0.07
skilled_worker,2.38,2.07,0.52,2.38,2.07,0.52
slave,-1.86,-2.85,-1.28,-1.86,-2.85,-1.28
slave_driver,-3.28,1.6,1.66,-3.28,1.6,1.66
sleuth,-0.4,0.82,-1.26,-0.4,0.82,-1.26
slob,-2.4,-1.22,-0.89,-2.4,-1.22,-0.89
slut,-1.89,-0.96,1.35,-1.89,-0.96,1.35
smart_aleck,-1.24,-0.19,2.04,-1.24,-0.19,2.04
smoker,-1.63,-1.26,-0.51,-1.63,-1.26,-0.51
snob,-2.34,-0.43,0.95,-2.34,-0.43,0.95
snoop,-1.91,0.03,-1.61,-1.91,0.03,-1.61
