term,E,P,A,E2,P2,A2
fair,3.12,2.1,-0.27,3.12,2.1,-0.27
faithful,2.92,2.35,-0.74,2.92,2.35,-0.74
fashionable,1.7,1.14,0.95,1.7,1.14,0.95
fearful,-2.37,-1.04,-0.71,-2.37,-1.04,-0.71
fed_up,-2.42,-0.64,0.05,-2.42,-0.64,0.05
female,1.96,1.48,0.75,1.96,1.48,0.75
feminine,1.02,0.68,0.14,1.02,0.68,0.14
fickle,-1.2,-1.09,-0.06,-1.2,-1.09,-0.06
finicky,-1.1,-0.73,0.59,-1.1,-0.73,0.59
flamboyant,0.11,0.86,2.32,0.11,0.86,2.32
flexible,2.39,1.43,0.13,2.39,1.43,0.13
flustered,-1.53,-0.48,0.64,-1.53,-0.48,0.64
foolish,-1.99,-1.47,1.11,-1.99,-1.47,1.11
forgetful,-1.84,-0.97,-0.9,-1.84,-0.97,-0.9
forgiving,2.98,2.55,-0.59,2.98,2.55,-0.59
fretful,-1.25,-1.04,-0.01,-1.25,-1.04,-0.01
friendly,3.1,2.24,0.64,3.1,2.24,0.64
frivolous,-0.84,-0.09,1.01,-0.84,-0.09,1.01
frustrated,-2,-0.71,0.81,-2,-0.71,0.81
fun_loving,2.72,1.9,1.54,2.72,1.9,1.54
furious,-1.82,0.56,1.79,-1.82,0.56,1.79
generous,3.45,2.63,0.09,3.45,2.63,0.09
gentle,2.43,1.07,-1.89,2.43,1.07,-1.89
giddy,2.27,1.31,2.21,2.27,1.31,2.21
glad,3.17,2.41,0.76,3.17,2.41,0.76
gleeful,2.83,2.03,1.79,2.83,2.03,1.79
gloomy,-2.34,-1.23,-2.11,-2.34,-1.23,-2.11
glum,-2.33,-1.6,-2.08,-2.33,-1.6,-2.08
good,3.4,2.37,-0.24,3.4,2.37,-0.24
good_natured,3.37,2.17,-0.21,3.37,2.17,-0.21
gossipy,-2.4,-0.38,2,-2.4,-0.38,2
gourmet,1.7,1.16,0.29,1.7,1.16,0.29
graceful,2.75,1.96,-1.12,2.75,1.96,-1.12
grateful,3.15,2.28,-0.28,3.15,2.28,-0.28
greedy,-2.45,0.29,1.09,-2.45,0.29,1.09
gregarious,0.97,1.12,1.33,0.97,1.12,1.33
grief_stricken,-2.59,-0.99,-1.85,-2.59,-0.99,-1.85
grouchy,-2.2,-0.68,-0.49,-2.2,-0.68,-0.49
grumpy,-2.18,-0.57,-0.72,-2.18,-0.57,-0.72
guilty,-2.29,-0.6,-1.14,-2.29,-0.6,-1.14
gullible,-1.55,-1.48,-0.69,-1.55,-1.48,-0.69
handsome,2.26,2.1,0.51,2.26,2.1,0.51
happy,3.44,2.93,0.92,3.44,2.93,0.92
hardworking,2.96,2.6,0.86,2.96,2.6,0.86
hassled,-2.63,-0.66,1.67,-2.63,-0.66,1.67
haughty,-1.69,0.01,1,-1.69,0.01,1
heart_broken,-2.83,-0.85,-1.41,-2.83,-0.85,-1.41
heavy_hearted,-1.32,0.31,-1.7,-1.32,0.31,-1.7
helpful,3.29,2.9,0.46,3.29,2.9,0.46
helpless,-2.73,-2.83,-1.94,-2.73,-2.83,-1.94
hesitant,-0.37,-0.9,-1.77,-0.37,-0.9,-1.77
homesick,-1.73,-0.08,-1.39,-1.73,-0.08,-1.39
honest,3.27,2.93,0.1,3.27,2.93,0.1
honorable,3.34,2.86,-0.18,3.34,2.86,-0.18
hopeful,2.64,2.15,-0.69,2.64,2.15,-0.69
hopeless,-3.21,-2.36,-2.29,-3.21,-2.36,-2.29
horny,1.01,1.34,1.55,1.01,1.34,1.55
horrified,-2.56,0.13,0.75,-2.56,0.13,0.75
hostile,-2.7,0.62,1.39,-2.7,0.62,1.39
hotheaded,-2.19,-0.06,2.37,-2.19,-0.06,2.37
humane,3.03,2.43,-0.17,3.03,2.43,-0.17
humble,3.02,1.83,-1.85,3.02,1.83,-1.85
humiliated,-3.1,-1.06,0.54,-3.1,-1.06,0.54
hurt,-2.67,0.24,-1.04,-2.67,0.24,-1.04
idealistic,1.56,1.11,0.59,1.56,1.11,0.59
ignorant,-2.77,-2.1,-0.12,-2.77,-2.1,-0.12
ill_at_ease,-1.91,-0.85,-1.19,-1.91,-0.85,-1.19
imaginative,2.71,2.53,0.46,2.71,2.53,0.46
immature,-2.07,-1.79,1.43,-2.07,-1.79,1.43
immoral,-2.45,-0.36,0.8,-2.45,-0.36,0.8
impatient,-1.9,-1.04,0.98,-1.9,-1.04,0.98
impolite,-2.67,-0.1,1.33,-2.67,-0.1,1.33
impractical,-1.66,-1.1,0.48,-1.66,-1.1,0.48
impressionable,1.04,0.91,0.22,1.04,0.91,0.22
impulsive,-0.5,0.25,2.16,-0.5,0.25,2.16
incompetent,-2.66,-2.34,-1.03,-2.66,-2.34,-1.03
inconsiderate,-3.05,-0.64,0.72,-3.05,-0.64,0.72
inconspicuous,0.5,0.33,-1.91,0.5,0.33,-1.91
incredulous,-0.27,0.05,0.47,-0.27,0.05,0.47
indecent,-2.28,-0.66,1.29,-2.28,-0.66,1.29
indecisive,-1.47,-1.56,-1.28,-1.47,-1.56,-1.28
independent,2.66,2.67,0.57,2.66,2.67,0.57
indifferent,-0.51,-0.53,-1.4,-0.51,-0.53,-1.4
indignant,-0.81,-0.17,0.38,-0.81,-0.17,0.38
indolent,-0.67,-0.58,-0.1,-0.67,-0.58,-0.1
indulgent,-0.28,0,0.54,-0.28,0,0.54
industrious,2.05,2.03,1.48,2.05,2.03,1.48
inexact,-1.28,-0.61,-0.17,-1.28,-0.61,-0.17
inexperienced,-0.94,-1.59,-0.69,-0.94,-1.59,-0.69
infatuated,0.27,-0.01,0.8,0.27,-0.01,0.8
inhibited,-1.12,-0.74,-0.84,-1.12,-0.74,-0.84
innocent,1.82,0.16,-1.18,1.82,0.16,-1.18
inquisitive,2.09,1.63,0.84,2.09,1.63,0.84
insane,-1.77,-1.07,1.4,-1.77,-1.07,1.4
insecure,-2.65,-1.18,-1.55,-2.65,-1.18,-1.55
insensitive,-2.28,-0.31,0.6,-2.28,-0.31,0.6
insincere,-2.81,-0.74,-0.38,-2.81,-0.74,-0.38
intellectual,3.07,2.93,-0.03,3.07,2.93,-0.03
intelligent,3.08,3.09,0.65,3.08,3.09,0.65
interested,2.37,1.66,0.13,2.37,1.66,0.13
intimidated,-2.48,-1.29,-0.26,-2.48,-1.29,-0.26
intolerant,-2.46,-0.56,0.55,-2.46,-0.56,0.55
intoxicated,-0.75,-1.12,1.58,-0.75,-1.12,1.58
introspective,1.57,1.19,-1.16,1.57,1.19,-1.16
introverted,0.25,-0.7,-1.82,0.25,-0.7,-1.82
irate,-2.08,0.17,1.39,-2.08,0.17,1.39
irked,-2.04,-0.47,0.35,-2.04,-0.47,0.35
irrational,-2.58,-0.87,1.56,-2.58,-0.87,1.56
irritable,-1.97,-0.87,0.85,-1.97,-0.87,0.85
irritated,-2.21,-0.56,0.41,-2.21,-0.56,0.41
irritating,-2.65,0.03,2.17,-2.65,0.03,2.17
jealous,-2.46,-0.85,0.4,-2.46,-0.85,0.4
jittery,-0.74,-0.27,2.1,-0.74,-0.27,2.1
joyful,3.51,2.87,1.56,3.51,2.87,1.56
joyless,-2.86,-1.6,-2.18,-2.86,-1.6,-2.18
jubilant,2.77,2.2,2.17,2.77,2.2,2.17
kind,3.45,3.05,-0.12,3.45,3.05,-0.12
kindly,3.24,2.29,-0.04,3.24,2.29,-0.04
knowledgeable,3.22,3.21,0.16,3.22,3.21,0.16
lazy,-2.03,-2.1,-2.57,-2.03,-2.1,-2.57
lenient,1.1,0.35,-1.06,1.1,0.35,-1.06
light_hearted,1.81,0.92,0.07,1.81,0.92,0.07
lively,2.27,2.04,2.37,2.27,2.04,2.37
lonely,-2.72,-1.29,-2.52,-2.72,-1.29,-2.52
lonesome,-2.37,-1.43,-2.41,-2.37,-1.43,-2.41
lost,-2.19,-1.36,-0.07,-2.19,-1.36,-0.07
loved,3.56,3.53,0.46,3.56,3.53,0.46
lovesick,-1.55,-0.12,-1.18,-1.55,-0.12,-1.18
low,-2.58,-1.72,-2.27,-2.58,-1.72,-2.27
lower_class,-1.27,-2.03,-0.75,-1.27,-2.03,-0.75
loyal,3.28,2.86,-0.63,3.28,2.86,-0.63
lucky,2.66,1.34,0.55,2.66,1.34,0.55
lustful,-0.37,0.41,0.75,-0.37,0.41,0.75
mad,-1.77,-0.17,1.14,-1.77,-0.17,1.14
male,1.6,1.72,0.97,1.6,1.72,0.97
malicious,-2.9,0.75,0.75,-2.9,0.75,0.75
maniacal,-1.69,0.71,1.62,-1.69,0.71,1.62
manic,-1.62,-0.75,1.94,-1.62,-0.75,1.94
manipulative,-2.37,1.5,-0.44,-2.37,1.5,-0.44
married,2.16,2.18,0.31,2.16,2.18,0.31
masculine,1.37,2.15,1.27,1.37,2.15,1.27
mature,2.67,2.49,-0.75,2.67,2.49,-0.75
mean,-2.75,0.83,1.25,-2.75,0.83,1.25
mediocre,-1.67,-1.75,-1.19,-1.67,-1.75,-1.19
meek,0.21,-0.9,-1.92,0.21,-0.9,-1.92
melancholic,-1.27,-1.31,-1.99,-1.27,-1.31,-1.99
mentally_ill,-1.95,-1.66,-0.87,-1.95,-1.66,-0.87
mentally_retarded,-1.03,-1.43,-0.73,-1.03,-1.43,-0.73
merry,2.91,1.87,1.65,2.91,1.87,1.65
messy,-1.81,-0.9,0.98,-1.81,-0.9,0.98
methodical,1.62,1.28,-1.41,1.62,1.28,-1.41
middle_aged,0.38,0.94,-0.58,0.38,0.94,-0.58
middle_class,1.11,0.47,-0.03,1.11,0.47,-0.03
